iter	Logloss
0	0.6114866393
1	0.5526198373
2	0.508560847
3	0.4779825401
4	0.4558491791
5	0.4383570629
6	0.4253432919
7	0.4150620539
8	0.4071449429
9	0.4020459
10	0.3971356445
11	0.3930414736
12	0.3897473477
13	0.386480303
14	0.3842707186
15	0.3825001727
16	0.3804182335
17	0.3785944396
18	0.3770478864
19	0.3761691084
20	0.3750152437
21	0.3741532511
22	0.3731065316
23	0.3722064047
24	0.3715161247
25	0.3708196438
26	0.3703129022
27	0.3698418782
28	0.3693169223
29	0.3689275273
30	0.3685693701
31	0.3681670575
32	0.3677172726
33	0.3674476224
34	0.367055898
35	0.3665878656
36	0.3662739246
37	0.3659572691
38	0.365711446
39	0.3654315342
40	0.3652029564
41	0.3649529365
42	0.3646402023
43	0.3643678643
44	0.3640948591
45	0.3639370799
46	0.363574555
47	0.3633485703
48	0.3630526626
49	0.3628303736
50	0.3626006457
51	0.3623174434
52	0.3621925461
53	0.3619550659
54	0.3617140128
55	0.361543619
56	0.361327882
57	0.3611221732
58	0.3609235391
59	0.360804268
60	0.3605861358
61	0.3603476326
62	0.3601824898
63	0.3600238902
64	0.3598984917
65	0.3597745097
66	0.3595334815
67	0.3594072837
68	0.3592441562
69	0.3590564608
70	0.3589523443
71	0.3588501311
72	0.3587007768
73	0.358533469
74	0.3584184609
75	0.3583195203
76	0.3581505213
77	0.358010382
78	0.3578491948
79	0.3577309419
80	0.3576161134
81	0.3574725699
82	0.3573234887
83	0.3572285408
84	0.3570969829
85	0.3569650682
86	0.3567923693
87	0.3566450334
88	0.3565610411
89	0.356397484
90	0.3562593671
91	0.3560664883
92	0.3559407556
93	0.3558173956
94	0.355704504
95	0.3556306266
96	0.3554798718
97	0.3553333854
98	0.3552209622
99	0.3551181197
100	0.3550098583
101	0.3548571305
102	0.3547432574
103	0.3545661007
104	0.3544612136
105	0.3543776545
106	0.354297249
107	0.3541844574
108	0.3540749369
109	0.3539844062
110	0.3538564978
111	0.3537094266
112	0.3535910913
113	0.3534801456
114	0.3533793696
115	0.353255181
116	0.3531476307
117	0.3529873577
118	0.3528955904
119	0.3527718808
120	0.3526911985
121	0.3525778018
122	0.3524363401
123	0.3523206208
124	0.3522181956
125	0.3520932556
126	0.3519884065
127	0.3518240185
128	0.3517401979
129	0.3516129594
130	0.3515020368
131	0.3513957871
132	0.3512816209
133	0.3511908412
134	0.3510953866
135	0.3509933801
136	0.3509134881
137	0.3507872435
138	0.3506979515
139	0.3505997539
140	0.3504830175
141	0.3503879351
142	0.35029721
143	0.3501746579
144	0.3500569692
145	0.3499817792
146	0.3498876879
147	0.3497746318
148	0.3496798295
149	0.3495766758
150	0.3494824496
151	0.3493813508
152	0.3492981568
153	0.3492019186
154	0.3491078593
155	0.3489838913
156	0.3489059397
157	0.3488251077
158	0.3487441419
159	0.3486805947
160	0.348597404
161	0.348508686
162	0.3484307077
163	0.3483722005
164	0.3483095134
165	0.3482314616
166	0.3481463634
167	0.3480682855
168	0.3479952283
169	0.347918145
170	0.3477938896
171	0.347708724
172	0.3476208824
173	0.3475395505
174	0.3474813515
175	0.3473961991
176	0.347279265
177	0.3471974039
178	0.3471180947
179	0.347062699
180	0.3469813884
181	0.346905341
182	0.3468035686
183	0.3467375019
184	0.3466547343
185	0.3465967578
186	0.3465273973
187	0.3464491257
188	0.3463887912
189	0.346315586
190	0.3462352881
191	0.3461585198
192	0.3460714271
193	0.3459905692
194	0.3459195552
195	0.3458517118
196	0.3458073362
197	0.34574459
198	0.3456394337
199	0.3455676707
200	0.3454816376
201	0.3453915011
202	0.345314771
203	0.3452645009
204	0.3452042686
205	0.345138087
206	0.3450703293
207	0.3450173382
208	0.3449663527
209	0.3448971139
210	0.3448335781
211	0.3447642953
212	0.3446966666
213	0.3446213608
214	0.3445343226
215	0.3444668142
216	0.3443922949
217	0.3443296042
218	0.3442526296
219	0.3441767948
220	0.3441127939
221	0.3440653082
222	0.3440000909
223	0.3439453471
224	0.3438715835
225	0.3438158801
226	0.3437248407
227	0.3436590383
228	0.3435860274
229	0.3435214224
230	0.3434302689
231	0.3433612495
232	0.3433024325
233	0.3432518078
234	0.3431914544
235	0.343147175
236	0.3430698128
237	0.3429905192
238	0.3429195538
239	0.3428656197
240	0.3427996014
241	0.3427342835
242	0.3426743551
243	0.342621759
244	0.3425746675
245	0.3425217507
246	0.3424650148
247	0.3423958238
248	0.3423362328
249	0.3422726323
250	0.3422216321
251	0.3421763506
252	0.342119895
253	0.342054765
254	0.3420119888
255	0.3419491077
256	0.3418831927
257	0.3418309173
258	0.3417720529
259	0.3417230346
260	0.3416658046
261	0.3416134698
262	0.3415481194
263	0.3414839017
264	0.3414274788
265	0.34138424
266	0.3413040459
267	0.3412369196
268	0.3411805896
269	0.341120233
270	0.3410487788
271	0.3409931744
272	0.3409409128
273	0.3408823091
274	0.3408430867
275	0.3407812647
276	0.3407200862
277	0.3406598702
278	0.3405772667
279	0.3405177004
280	0.3404504735
281	0.3403995915
282	0.3403316684
283	0.340270023
284	0.3401982484
285	0.3401172427
286	0.3400635063
287	0.3400099829
288	0.3399665698
289	0.3399140929
290	0.3398511397
291	0.3398122848
292	0.3397452112
293	0.3397063714
294	0.3396549041
295	0.339611742
296	0.3395680978
297	0.3395257223
298	0.3394548735
299	0.3394109763
300	0.339369548
301	0.3393212828
302	0.3392804768
303	0.3392355144
304	0.3391870946
305	0.3391404165
306	0.3390746101
307	0.3390284308
308	0.3389650796
309	0.3389174681
310	0.3388755956
311	0.3388117802
312	0.3387496596
313	0.3386894893
314	0.3386279269
315	0.3385830401
316	0.3385126775
317	0.3384748081
318	0.3384059115
319	0.3383473994
320	0.3382881729
321	0.3382309324
322	0.3381911092
323	0.3381251843
324	0.33807331
325	0.338031323
326	0.337969771
327	0.3379209314
328	0.3378539917
329	0.3377811799
330	0.3376951297
331	0.3376340023
332	0.3375863814
333	0.3375270263
334	0.3374871034
335	0.337417911
336	0.3373591449
337	0.3373045135
338	0.3372508715
339	0.3372050165
340	0.3371301861
341	0.3370640815
342	0.337007536
343	0.3369759366
344	0.3369287702
345	0.3368845916
346	0.3368219078
347	0.3367736071
348	0.3367113825
349	0.3366693745
350	0.3366213775
351	0.3365760149
352	0.3365365555
353	0.3365027365
354	0.3364408675
355	0.3363821872
356	0.3363378525
357	0.33628932
358	0.3362517513
359	0.3362012544
360	0.3361585439
361	0.3361034754
362	0.3360565231
363	0.3360035737
364	0.3359438927
365	0.3359030143
366	0.3358635714
367	0.3358230105
368	0.3357869137
369	0.3357404446
370	0.3356962391
371	0.3356537802
372	0.3356070214
373	0.3355494694
374	0.3354861601
375	0.335447827
376	0.3353887671
377	0.3353372423
378	0.33528085
379	0.3352291883
380	0.3351738123
381	0.3351380327
382	0.3350609373
383	0.3350174941
384	0.3349688572
385	0.3349224091
386	0.3348913591
387	0.3348512916
388	0.3347926626
389	0.3347084819
390	0.3346578461
391	0.3346172807
392	0.3345692451
393	0.3345129609
394	0.3344582648
395	0.3344050494
396	0.3343766743
397	0.3343393064
398	0.3342816559
399	0.3342492477
400	0.3342081925
401	0.3341547906
402	0.3341002192
403	0.3340599098
404	0.3339864626
405	0.3339430088
406	0.333920547
407	0.333867259
408	0.3338228899
409	0.3337835325
410	0.3337405505
411	0.3337019855
412	0.3336390102
413	0.3335921638
414	0.3335353564
415	0.3334905754
416	0.3334475285
417	0.3333952579
418	0.3333416926
419	0.3332854554
420	0.3332375506
421	0.3332029415
422	0.3331539083
423	0.3330962415
424	0.3330496337
425	0.3330039266
426	0.3329570059
427	0.3329099817
428	0.3328750886
429	0.332823728
430	0.3327612243
431	0.3327044542
432	0.3326579293
433	0.3326145477
434	0.3325678066
435	0.3325068438
436	0.3324537455
437	0.332422554
438	0.3323707708
439	0.3323195327
440	0.3322876682
441	0.3322468358
442	0.3322015364
443	0.332154165
444	0.3321046031
445	0.3320548
446	0.3320139705
447	0.331956848
448	0.3319088278
449	0.3318588302
450	0.3318065174
451	0.3317647014
452	0.3317169452
453	0.3316800236
454	0.3316396722
455	0.3316015594
456	0.3315666415
457	0.3315328142
458	0.3315017445
459	0.3314544737
460	0.331426544
461	0.3313793704
462	0.3313293707
463	0.3312772603
464	0.3312326972
465	0.3311848367
466	0.3311313224
467	0.3310971052
468	0.3310526291
469	0.3310053238
470	0.3309678332
471	0.3309169642
472	0.3308738942
473	0.3308261477
474	0.3307850101
475	0.3307246218
476	0.3306830842
477	0.3306339032
478	0.3305970985
479	0.3305628274
480	0.3305213237
481	0.3304743595
482	0.3304261148
483	0.3303794758
484	0.3303211655
485	0.3302831287
486	0.3302483294
487	0.3302037412
488	0.3301684648
489	0.3301295307
490	0.3300788947
491	0.33003808
492	0.3300045875
493	0.3299621324
494	0.3299352604
495	0.3298829094
496	0.3298289794
497	0.3297774689
498	0.3297317645
499	0.329682589
500	0.3296275502
501	0.3295975954
502	0.3295476354
503	0.3295169971
504	0.3294615765
505	0.3294042263
506	0.3293577438
507	0.3293069976
508	0.3292647231
509	0.3292163445
510	0.3291790123
511	0.329136076
512	0.3290928862
513	0.3290380691
514	0.3289877393
515	0.3289519425
516	0.3289057566
517	0.3288624676
518	0.3288171215
519	0.3287768608
520	0.3287346442
521	0.3286767638
522	0.3286296324
523	0.3285748222
524	0.3285255858
525	0.3284839094
526	0.3284405013
527	0.3283977605
528	0.3283586444
529	0.3283069287
530	0.3282667552
531	0.3282107642
532	0.3281573666
533	0.3281122185
534	0.3280537674
535	0.3280145376
536	0.3279708037
537	0.3279329468
538	0.3278958168
539	0.3278641609
540	0.3278212357
541	0.3277811506
542	0.3277361712
543	0.3276925499
544	0.3276594143
545	0.3276259145
546	0.3276008623
547	0.3275576434
548	0.3275176967
549	0.3274859689
550	0.3274434876
551	0.3273952651
552	0.3273526595
553	0.3273169669
554	0.3272778997
555	0.3272461832
556	0.327197251
557	0.327160818
558	0.3271302361
559	0.3270908449
560	0.3270613177
561	0.3270287642
562	0.3269743875
563	0.3269315251
564	0.3269028035
565	0.3268592168
566	0.3268037358
567	0.3267585199
568	0.3267068364
569	0.3266555586
570	0.3266104471
571	0.3265719375
572	0.3265129243
573	0.3264673732
574	0.3264312659
575	0.3263951433
576	0.326340896
577	0.3262928348
578	0.3262599494
579	0.3262224356
580	0.3261795503
581	0.3261511744
582	0.3261155456
583	0.3260670814
584	0.3260303003
585	0.3259930272
586	0.3259569111
587	0.3259087645
588	0.3258741438
589	0.3258400812
590	0.3258015844
591	0.3257627335
592	0.3257118413
593	0.32566622
594	0.3256338968
595	0.3255919555
596	0.3255399406
597	0.3254833153
598	0.325431531
599	0.325407786
600	0.3253557367
601	0.3253095386
602	0.325258718
603	0.3252216789
604	0.3251752355
605	0.3251319605
606	0.3250807347
607	0.3250368131
608	0.3250016679
609	0.3249741219
610	0.3249255334
611	0.3248892559
612	0.3248459749
613	0.3248174254
614	0.3247845755
615	0.3247310754
616	0.3246922732
617	0.3246453184
618	0.3245982917
619	0.3245631415
620	0.3245105745
621	0.3244643333
622	0.3244338931
623	0.3243889498
624	0.3243383409
625	0.3243073966
626	0.3242704442
627	0.3242417717
628	0.3241968674
629	0.3241555435
630	0.3241069524
631	0.3240720788
632	0.3240263871
633	0.3239862393
634	0.323942561
635	0.3239031988
636	0.3238559974
637	0.3238205576
638	0.3237745097
639	0.3237211268
640	0.3236763731
641	0.3236265286
642	0.3235958255
643	0.3235556928
644	0.3235102892
645	0.3234789935
646	0.3234379203
647	0.3234154462
648	0.3233823393
649	0.3233545991
650	0.3233318518
651	0.3232824738
652	0.3232603055
653	0.3232296831
654	0.3232081766
655	0.3231636928
656	0.3231323053
657	0.3230954979
658	0.3230581727
659	0.3230149413
660	0.3229488471
661	0.3229073645
662	0.3228749804
663	0.3228441391
664	0.3227888579
665	0.3227532328
666	0.3227214601
667	0.3226849091
668	0.3226362197
669	0.322589393
670	0.3225415354
671	0.3224929093
672	0.322445988
673	0.3224095371
674	0.3223737634
675	0.3223276403
676	0.3222828639
677	0.3222415755
678	0.3221966972
679	0.3221479684
680	0.3221136215
681	0.322082448
682	0.3220488993
683	0.3220184478
684	0.3219832797
685	0.3219462041
686	0.3219113515
687	0.3218670176
688	0.3218121536
689	0.3217893989
690	0.3217569647
691	0.3217144068
692	0.3216820213
693	0.3216358443
694	0.3215947181
695	0.3215619841
696	0.3215126779
697	0.3214768377
698	0.3214380909
699	0.3214000118
700	0.3213765329
701	0.3213278393
702	0.3212946775
703	0.3212507956
704	0.3212112589
705	0.3211766531
706	0.3211386261
707	0.3211100542
708	0.3210717859
709	0.3210416188
710	0.3210052551
711	0.3209691869
712	0.3209265604
713	0.3208753981
714	0.3208484591
715	0.320809578
716	0.3207690294
717	0.3207318841
718	0.3206908134
719	0.3206519571
720	0.3206161886
721	0.3205824048
722	0.3205323076
723	0.3204959325
724	0.3204630742
725	0.3204299338
726	0.3204145461
727	0.3203771076
728	0.3203401028
729	0.3203095801
730	0.3202728861
731	0.3202480316
732	0.3202023934
733	0.3201708533
734	0.3201370628
735	0.3201043035
736	0.3200678378
737	0.3200211486
738	0.3199848376
739	0.3199478747
740	0.3198933926
741	0.3198616234
742	0.3198363004
743	0.3198009481
744	0.3197586396
745	0.3197200363
746	0.3196639748
747	0.3196314532
748	0.3195863964
749	0.3195422613
750	0.319511425
751	0.319470095
752	0.3194351962
753	0.3193873314
754	0.3193485963
755	0.3193262512
756	0.3192999669
757	0.3192594636
758	0.3192176126
759	0.3191899816
760	0.3191358696
761	0.3190956641
762	0.3190569554
763	0.3190300186
764	0.3189896369
765	0.3189515603
766	0.3189218469
767	0.3188747489
768	0.3188151881
769	0.3187748191
