iter	Passed	Remaining
0	104	104692
1	198	98985
2	298	99208
3	438	109276
4	593	118102
5	730	121095
6	820	116342
7	924	114618
8	1038	114399
9	1136	112495
10	1231	110691
11	1327	109325
12	1455	110500
13	1555	109539
14	1665	109353
15	1755	107960
16	1864	107792
17	1955	106671
18	2076	107231
19	2166	106157
20	2261	105407
21	2349	104464
22	2449	104041
23	2551	103751
24	2652	103450
25	2742	102738
26	2840	102358
27	2930	101745
28	3036	101677
29	3160	102184
30	3258	101867
31	3356	101547
32	3464	101531
33	3559	101123
34	3673	101276
35	3770	100954
36	3871	100762
37	3948	99971
38	4046	99721
39	4135	99254
40	4245	99314
41	4333	98848
42	4430	98610
43	4540	98650
44	4630	98258
45	4728	98066
46	4829	97926
47	4921	97614
48	4997	96996
49	5088	96686
50	5262	97926
51	5364	97793
52	5466	97673
53	5599	98089
54	5765	99053
55	5860	98785
56	5960	98602
57	6057	98383
58	6153	98146
59	6265	98165
60	6369	98046
61	6478	98007
62	6585	97946
63	6684	97761
64	6786	97623
65	6892	97537
66	7002	97510
67	7100	97315
68	7187	96972
69	7302	97016
70	7392	96731
71	7484	96461
72	7580	96267
73	7681	96117
74	7776	95909
75	7879	95799
76	7983	95703
77	8079	95505
78	8242	96088
79	8388	96465
80	8599	97565
81	8715	97566
82	8888	98196
83	9042	98603
84	9143	98430
85	9235	98156
86	9341	98032
87	9515	98612
88	9617	98441
89	9705	98137
90	9815	98046
91	9954	98245
92	10121	98708
93	10231	98616
94	10335	98457
95	10487	98755
96	10606	98737
97	10713	98607
98	10854	98790
99	10965	98692
100	11064	98488
101	11205	98650
102	11325	98630
103	11488	98977
104	11621	99060
105	11854	99976
106	11989	100065
107	12133	100214
108	12266	100266
109	12375	100127
110	12493	100059
111	12709	100768
112	12805	100520
113	13191	102524
114	13510	103971
115	13712	104495
116	13810	104225
117	13963	104371
118	14067	104145
119	14282	104736
120	14568	105835
121	14780	106367
122	14939	106521
123	15142	106975
124	16911	118382
125	17435	120939
126	17701	121681
127	17942	122235
128	18217	123003
129	18400	123140
130	18561	123129
131	18774	123453
132	19073	124335
133	19329	124921
134	19569	125390
135	19828	125970
136	20029	126169
137	20918	130662
138	21685	134324
139	23848	146496
140	26793	163233
141	31929	192927
142	32063	192153
143	32282	191902
144	32669	192637
145	32816	191952
146	32953	191221
147	33075	190409
148	33194	189587
149	33322	188826
150	33486	188280
151	33877	189001
152	34118	188879
153	34407	189017
154	34500	188081
155	34659	187518
156	34835	187047
157	34973	186380
158	35135	185844
159	35321	185439
160	35541	185214
161	35685	184594
162	35847	184076
163	36019	183611
164	36195	183169
165	36303	182392
166	36406	181594
167	36550	181010
168	36638	180156
169	36736	179362
170	36858	178686
171	37199	179078
172	37431	178934
173	37736	179142
174	37955	178933
175	38195	178824
176	38319	178176
177	38435	177493
178	38664	177337
179	38835	176915
180	38994	176444
181	39127	175856
182	39299	175453
183	39582	175538
184	39679	174804
185	39777	174079
186	39971	173780
187	40193	173603
188	40298	172920
189	40396	172218
190	40500	171544
191	40638	171021
192	40805	170622
193	40928	170043
194	41077	169577
195	41272	169301
196	41396	168739
197	41578	168413
198	41690	167809
199	41807	167231
200	41903	166569
201	42002	165931
202	42103	165303
203	42193	164639
204	42302	164051
205	42406	163449
206	42533	162940
207	42625	162306
208	42747	161786
209	42839	161158
210	42982	160725
211	43094	160180
212	43202	159624
213	43301	159040
214	43422	158542
215	43552	158079
216	43666	157563
217	43782	157054
218	43878	156481
219	43989	155962
220	44115	155502
221	44235	155025
222	44388	154663
223	44496	154149
224	44591	153591
225	44692	153062
226	44787	152514
227	44887	151989
228	45017	151566
229	45176	151243
230	45314	150850
231	45441	150428
232	45547	149934
233	45638	149399
234	45741	148904
235	45838	148391
236	45949	147929
237	46050	147439
238	46138	146910
239	46224	146377
240	46313	145858
241	46413	145377
242	46519	144917
243	46614	144429
244	46708	143937
245	46810	143475
246	46915	143026
247	47115	142867
248	47241	142482
249	47338	142016
250	47445	141580
251	47626	141366
252	47729	140923
253	47837	140498
254	47940	140061
255	48042	139622
256	48156	139223
257	48251	138770
258	48345	138315
259	48444	137879
260	48536	137428
261	48632	136989
262	48758	136635
263	48861	136219
264	48968	135818
265	49060	135376
266	49156	134949
267	49277	134594
268	49381	134192
269	49486	133795
270	49564	133330
271	49660	132914
272	49761	132515
273	49859	132108
274	49962	131720
275	50059	131314
276	50159	130921
277	50255	130520
278	50374	130180
279	50495	129846
280	50647	129593
281	50730	129165
282	50900	128960
283	51167	128999
284	51355	128839
285	51457	128463
286	51570	128118
287	51657	127708
288	51751	127319
289	51856	126958
290	51951	126575
291	52053	126212
292	52160	125861
293	52252	125477
294	52345	125097
295	52483	124825
296	52584	124468
297	52707	124163
298	52809	123811
299	52902	123438
300	52991	123060
301	53088	122700
302	53176	122323
303	53282	121989
304	53401	121684
305	53523	121388
306	53637	121077
307	53770	120808
308	53882	120495
309	53999	120191
310	54107	119872
311	54476	120127
312	55082	120899
313	55311	120838
314	55413	120501
315	55517	120170
316	55629	119857
317	55795	119661
318	55955	119452
319	56046	119099
320	56173	118821
321	56273	118489
322	56391	118195
323	56483	117849
324	56581	117515
325	56683	117193
326	56777	116852
327	56915	116607
328	57036	116326
329	57166	116066
330	57271	115754
331	57362	115417
332	57448	115068
333	57546	114747
334	57643	114426
335	57747	114120
336	57851	113814
337	57938	113477
338	58039	113168
339	58135	112852
340	58245	112562
341	58416	112391
342	58569	112186
343	58682	111906
344	58776	111589
345	58863	111262
346	58975	110982
347	59066	110665
348	59164	110361
349	59260	110055
350	59366	109768
351	59467	109473
352	59564	109173
353	59653	108860
354	59747	108555
355	59849	108267
356	59956	107988
357	60062	107710
358	60155	107408
359	60247	107106
360	60334	106797
361	60419	106485
362	60520	106202
363	60617	105913
364	60715	105627
365	60812	105342
366	60918	105071
367	61031	104815
368	61135	104542
369	61238	104270
370	61343	104003
371	61440	103721
372	61557	103475
373	61646	103182
374	61754	102924
375	61845	102637
376	61968	102404
377	62141	102253
378	62317	102109
379	62442	101879
380	62556	101633
381	62664	101378
382	62767	101116
383	62863	100844
384	62966	100583
385	63063	100313
386	63162	100047
387	63332	99895
388	63534	99793
389	63638	99537
390	63769	99324
391	63876	99073
392	63974	98810
393	64090	98575
394	64197	98327
395	64299	98072
396	64394	97808
397	64488	97542
398	64591	97292
399	64694	97042
400	64809	96809
401	64920	96573
402	65028	96332
403	65181	96158
404	65292	95923
405	65384	95661
406	65486	95414
407	65587	95165
408	65683	94912
409	65819	94715
410	65986	94565
411	66086	94318
412	66183	94067
413	66302	93848
414	66400	93600
415	66520	93384
416	66679	93223
417	66812	93025
418	66954	92842
419	67091	92650
420	67221	92449
421	67380	92288
422	67488	92058
423	67611	91849
424	67718	91619
425	67830	91395
426	67954	91189
427	68158	91090
428	68309	90920
429	68475	90770
430	68602	90568
431	68707	90337
432	68812	90108
433	68914	89874
434	69064	89703
435	69236	89562
436	69376	89379
437	69469	89136
438	69566	88899
439	69664	88664
440	69771	88440
441	69867	88203
442	69968	87973
443	70064	87738
444	70165	87510
445	70271	87287
446	70371	87058
447	70487	86851
448	70597	86634
449	70698	86408
450	70794	86177
451	70898	85956
452	70999	85731
453	71096	85503
454	71201	85285
455	71292	85051
456	71395	84831
457	71522	84640
458	71626	84422
459	71725	84199
460	71822	83974
461	71931	83764
462	72029	83541
463	72120	83311
464	72247	83123
465	72337	82893
466	72436	82674
467	72531	82450
468	72634	82236
469	72735	82020
470	72833	81802
471	72940	81594
472	73033	81370
473	73125	81148
474	73221	80928
475	73308	80701
476	73399	80477
477	73496	80261
478	73587	80039
479	73695	79836
480	73789	79618
481	73887	79405
482	73974	79181
483	74071	78968
484	74167	78755
485	74268	78547
486	74363	78334
487	74462	78124
488	74555	77909
489	74662	77710
490	74769	77510
491	74925	77362
492	75126	77259
493	75260	77089
494	75359	76881
495	75456	76673
496	75688	76601
497	75791	76400
498	75909	76213
499	76020	76020
500	76123	75819
501	76229	75621
502	76331	75420
503	76430	75217
504	76534	75019
505	76639	74821
506	76746	74626
507	76926	74503
508	77031	74307
509	77216	74188
510	77386	74055
511	77549	73914
512	77692	73755
513	77815	73576
514	77945	73404
515	78047	73207
516	78162	73021
517	78279	72839
518	78417	72676
519	78518	72478
520	78637	72298
521	78750	72112
522	78851	71916
523	78960	71727
524	79051	71523
525	79167	71340
526	79273	71150
527	79380	70961
528	79488	70773
529	79586	70576
530	79678	70375
531	79781	70183
532	79877	69986
533	79973	69789
534	80073	69596
535	80176	69406
536	80273	69211
537	80373	69019
538	80469	68824
539	80579	68641
540	80686	68456
541	80805	68282
542	80910	68096
543	81054	67942
544	81182	67776
545	81283	67587
546	81371	67388
547	81480	67206
548	81609	67041
549	81724	66865
550	81849	66697
551	82028	66573
552	82216	66457
553	82326	66277
554	82430	66092
555	82539	65912
556	82669	65749
557	82785	65575
558	83078	65541
559	84772	66606
560	89868	70325
561	89965	70115
562	90068	69911
563	90170	69706
564	90268	69498
565	90369	69293
566	90470	69089
567	90599	68907
568	90735	68728
569	90828	68519
570	90988	68361
571	91096	68163
572	91200	67963
573	91294	67755
574	91389	67548
575	91492	67348
576	91587	67142
577	91697	66948
578	91796	66746
579	91898	66547
580	91999	66347
581	92100	66147
582	92191	65941
583	92290	65741
584	92395	65545
585	92489	65342
586	92595	65148
587	92805	65026
588	92944	64856
589	93064	64671
590	93160	64471
591	93261	64274
592	93357	64075
593	93451	63874
594	93550	63677
595	93648	63480
596	93749	63284
597	93863	63098
598	94011	62936
599	94190	62793
600	94340	62632
601	94461	62451
602	94569	62262
603	94671	62069
604	94777	61879
605	94900	61701
606	95100	61572
607	95269	61423
608	95482	61303
609	95602	61122
610	95715	60938
611	95817	60747
612	95915	60553
613	96014	60361
614	96106	60164
615	96225	59984
616	96324	59792
617	96428	59604
618	96560	59434
619	96792	59324
620	97012	59207
621	97129	59027
622	97231	58838
623	97332	58648
624	97441	58465
625	97531	58269
626	97638	58084
627	97752	57904
628	97861	57721
629	97963	57534
630	98061	57345
631	98151	57151
632	98253	56965
633	98360	56782
634	98468	56599
635	98575	56417
636	98676	56231
637	98784	56050
638	98881	55862
639	99062	55722
640	99236	55578
641	99363	55408
642	99471	55227
643	99591	55053
644	99695	54870
645	99861	54723
646	100038	54580
647	100193	54426
648	100423	54312
649	100632	54186
650	100818	54048
651	100960	53887
652	101070	53707
653	101228	53555
654	101321	53367
655	101424	53186
656	101527	53004
657	101629	52822
658	101747	52649
659	101845	52465
660	101971	52297
661	102159	52160
662	102269	51983
663	102360	51797
664	102463	51617
665	102563	51435
666	102663	51254
667	102767	51075
